FECHA,DEPARTAMENTO,MUNICIPIO,TIPO_DE_EVENTO,DIVIPOLA,FALLECIDOS,HERIDOS,DESAPARECIDOS,AFECTADOS,FAMILIAS,VIVIENDAS_DESTRUIDAS,VIVIENDAS_AVERIADAS,LATITUD,LONGITUD
2018-01-21,META,RESTREPO,INCENDIO FORESTAL,50606,0,0,0,0,0,0,0,4.204310977,-73.50226037
2018-01-21,NARIÑO,EL TAMBO,INCENDIO FORESTAL,52260,0,0,0,0,0,0,0,1.43026376,-77.38311597
2018-01-22,SANTANDER,LEBRIJA,INCENDIO FORESTAL,68406,0,0,0,0,0,0,0,7.204060063,-73.29138097
2018-01-22,CUNDINAMARCA,AGUA DE DIOS,INCENDIO FORESTAL,25001,0,0,0,0,0,0,0,4.372744676,-74.67111051
2018-01-22,META,ACACIAS,INCENDIO FORESTAL,50006,0,0,0,0,0,0,0,3.943383008,-73.57135162
2018-01-23,SANTANDER,PUERTO WILCHES,INCENDIO FORESTAL,68575,0,0,0,0,0,0,0,7.398198257,-73.8354696
2018-01-23,CESAR,AGUACHICA,INCENDIO FORESTAL,20011,0,0,0,0,0,0,0,8.248735219,-73.6227405
2018-01-23,META,PUERTO GAITAN,INCENDIO FORESTAL,50568,0,0,0,0,0,0,0,4.005034467,-71.63157429
2018-01-23,BOYACA,CHIVATA,INCENDIO FORESTAL,15187,0,0,0,0,0,0,0,5.556830465,-73.26061715
2018-01-23,BOYACA,ALMEIDA,INCENDIO FORESTAL,15022,0,0,0,0,0,0,0,4.954825081,-73.38813425
2018-01-23,CASANARE,AGUAZUL,INCENDIO FORESTAL,85010,0,0,0,0,0,0,0,5.126121886,-72.54821017
2018-01-23,CASANARE,AGUAZUL,INCENDIO FORESTAL,85010,0,0,0,0,0,0,0,5.126121886,-72.54821017
2018-01-23,ANTIOQUIA,BARBOSA,INCENDIO ESTRUCTURAL,5079,0,0,0,10,2,2,0,6.443417935,-75.32924085
2018-01-23,BOLIVAR,SIMITI,INCENDIO FORESTAL,13744,0,0,0,0,0,0,0,7.851315534,-73.98371609
2018-01-23,BOYACA,SORACA,INCENDIO FORESTAL,15764,0,0,0,0,0,0,0,5.494890461,-73.31899997
2018-01-23,BOYACA,TIBASOSA,INCENDIO FORESTAL,15806,0,0,0,0,0,0,0,5.747329389,-73.01114724
2018-01-23,BOYACA,TUNJA,INCENDIO FORESTAL,15001,0,0,0,0,0,0,0,5.518472615,-73.37801856
2018-01-23,CASANARE,PORE,INCENDIO FORESTAL,85263,0,0,0,0,0,0,0,5.663194953,-71.92580806
2018-01-23,CUNDINAMARCA,ANAPOIMA,INCENDIO FORESTAL,25035,0,0,0,0,0,0,0,4.559962881,-74.5256953
2018-01-23,CUNDINAMARCA,GRANADA,ACCIDENTE,25312,0,0,0,0,0,0,0,4.523484884,-74.33724619
2018-01-23,CUNDINAMARCA,MEDINA,INCENDIO FORESTAL,25438,0,0,0,0,0,0,0,4.484437919,-73.40598487
2018-01-23,MAGDALENA,SANTA MARTA,INCENDIO FORESTAL,47001,0,0,0,0,0,0,0,11.12189436,-73.88527855
2018-01-23,SANTANDER,ONZAGA,INCENDIO FORESTAL,68502,0,0,0,0,0,0,0,6.335194548,-72.81205838
2018-01-23,VICHADA,CUMARIBO,INCENDIO FORESTAL,99773,0,0,0,0,0,0,0,4.262454746,-69.52140484
2018-01-24,META,ACACIAS,INCENDIO FORESTAL,50006,0,0,0,0,0,0,0,3.943383008,-73.57135162
2018-01-24,CUNDINAMARCA,MEDINA,INCENDIO FORESTAL,25438,0,0,0,0,0,0,0,4.484437919,-73.40598487
2018-01-24,ANTIOQUIA,AMALFI,INCENDIO FORESTAL,5031,0,0,0,0,0,0,0,6.977788843,-74.9812393
2018-01-24,BOYACA,CUITIVA,INCENDIO FORESTAL,15226,0,0,0,0,0,0,0,5.58775449,-72.93953686
2018-01-24,BOYACA,DUITAMA,INCENDIO FORESTAL,15238,0,0,0,0,0,0,0,5.890602515,-73.06709484
2018-01-24,BOYACA,TOPAGA,INCENDIO FORESTAL,15820,0,0,0,0,0,0,0,5.765350303,-72.83672958
2018-01-24,BOYACA,VENTAQUEMADA,OTROS,15861,0,0,0,36,0,0,0,5.383385481,-73.52097942
2018-01-24,CUNDINAMARCA,COTA,INCENDIO FORESTAL,25214,0,0,0,0,0,0,0,4.76754674,-74.1415583
2018-01-24,META,VILLAVICENCIO,INCENDIO FORESTAL,50001,0,0,0,0,0,0,0,4.09166877,-73.49291595
2018-01-24,RISARALDA,MARSELLA,INCENDIO ESTRUCTURAL,66440,0,0,0,5,2,2,0,4.942936185,-75.7532139
2018-01-24,SANTANDER,VELEZ,INCENDIO FORESTAL,68861,0,0,0,0,0,0,0,6.00741043,-73.69057256
2018-01-24,SANTANDER,VILLANUEVA,OTROS,68872,1,0,0,1,0,0,0,6.685867326,-73.16396916
2018-01-25,LA GUAJIRA,BARRANCAS,ACCIDENTE,44078,1,0,0,1,0,0,0,10.94871677,-72.69696879
2018-01-25,ATLANTICO,MALAMBO,INCENDIO FORESTAL,8433,0,0,0,0,0,0,0,10.84828864,-74.80617555
2018-01-25,MAGDALENA,SITIONUEVO,INCENDIO FORESTAL,47745,0,0,0,0,0,0,0,10.89027616,-74.62966038
2018-01-25,BOYACA,SUTATENZA,INCENDIO FORESTAL,15778,0,0,0,0,0,0,0,5.030711335,-73.41224401
2018-01-25,BOYACA,BELEN,INCENDIO FORESTAL,15087,0,0,0,0,0,0,0,6.005059265,-72.89369887
2018-01-25,CASANARE,MANI,INCENDIO FORESTAL,85139,0,0,0,0,0,0,0,4.675769488,-72.21280273
2018-01-25,CUNDINAMARCA,SOACHA,INCENDIO ESTRUCTURAL,25754,0,0,0,13,2,0,1,4.581866267,-74.24029696
2018-01-25,MAGDALENA,ARACATACA,INCENDIO FORESTAL,47053,0,0,0,0,0,0,0,10.64490877,-73.87972257
2018-01-25,NARIÑO,SAN LORENZO,INCENDIO FORESTAL,52687,0,0,0,0,0,0,0,1.542139582,-77.21872693
2018-01-26,META,PUERTO LOPEZ,INCENDIO FORESTAL,50573,0,0,0,0,0,0,0,4.014298921,-72.64570499
2018-01-26,SANTANDER,SABANA DE TORRES,INCENDIO FORESTAL,68655,0,0,0,0,0,0,0,7.4065422,-73.57131807
2018-01-26,SANTANDER,SABANA DE TORRES,INCENDIO FORESTAL,68655,0,0,0,0,0,0,0,7.4065422,-73.57131807
2018-01-26,CUNDINAMARCA,FOMEQUE,INCENDIO FORESTAL,25279,0,0,0,0,0,0,0,4.528568462,-73.79705267
2018-01-26,MAGDALENA,SANTA MARTA,INCENDIO FORESTAL,47001,0,0,0,0,0,0,0,11.12189436,-73.88527855
2018-01-26,CUNDINAMARCA,GACHETA,INCENDIO FORESTAL,25297,0,0,0,0,0,0,0,4.867551134,-73.61773287
2018-01-26,HUILA,GIGANTE,OTROS,41306,3,0,0,3,0,0,0,2.371781539,-75.51699754
2018-01-26,SANTANDER,OCAMONTE,INCENDIO ESTRUCTURAL,68498,0,0,0,0,0,0,0,6.355368858,-73.12211833
2018-01-26,TOLIMA,ARMERO,INCENDIO FORESTAL,73055,0,0,0,0,0,0,0,5.006758956,-74.84750095
2018-01-27,SANTANDER,GALAN,INCENDIO FORESTAL,68296,0,0,0,0,0,0,0,6.671810994,-73.32467124
2018-01-27,LA GUAJIRA,FONSECA,INCENDIO FORESTAL,44279,0,0,0,0,0,0,0,10.8283716,-72.8018178
2018-01-27,BOYACA,PUERTO BOYACA,INCENDIO FORESTAL,15572,0,0,0,0,0,0,0,5.953466654,-74.4528581
2018-01-27,ATLANTICO,BARRANQUILLA,EXPLOSION,8001,5,48,0,53,0,0,0,10.98152051,-74.82771544
2018-01-27,SANTANDER,MOGOTES,INCENDIO FORESTAL,68464,0,0,0,0,0,0,0,6.492532315,-72.95834772
2018-01-27,BOYACA,TUNJA,EXPLOSION,15001,0,3,0,195,39,0,39,5.518472615,-73.37801856
2018-01-27,BOYACA,NUEVO COLON,INCENDIO FORESTAL,15494,0,0,0,0,0,0,0,5.354701485,-73.44873424
